uid,poi_href,poi_id,name,star,content,datetime,description,pics,tel,site,time,traffic,ticket,opentime,location,insides
5065312,/poi/1242.html,1242,锦里,4,仿古的建筑，是悠闲的地方，不过商业气息太重，轻雨后的石桥，邂逅撑伞的川妹子，意境还是相当的美！,2013-12-03 00:44:54,锦里是一条仿古商业街，成都人气最旺景点之一。在这里，你可以欣赏捏泥人、摆糖画的手艺，逛逛极富三国特色的店铺、皮灯影、曹营坝、筷子店等，还可以到永远人头攒动的“好吃街”品尝四川名吃，还有茶楼、咖啡馆、酒吧、客栈等随时可落座。黄昏时分，锦里会亮起灯，颇有韵味，适合拍照游玩。,14564,028-66311313;028-85511800;028-85538914,http://www.cdjinli.com/,2小时,乘1、57、82、334、335 路至武侯祠站下车；乘8、21路至武侯祠东街站下车,免费,5:00-23:00,四川省成都市武侯祠大街231 号附1 号(武侯祠东侧),
5065312,/poi/87950.html,87950,宽窄巷子,4,四川话就是巴适，要是商业气息淡些，喝上一杯茶，坐在风景中看风景，妙不可言,2013-12-03 00:45:06,号称“最成都”的地方，也是游客最爱流连之处。这个由宽巷子、窄巷子、井巷子组成的步行街，实是清朝古街道。尽管如今汇聚众多咖啡馆、餐厅及商店，游走其中，你依然能体验到挖耳朵、变脸、喝茶、耍酒等成都休闲生活。 宽巷子值得一看的是11号的百年老宅——恺庐，内院茶馆很安静，价格公道；窄巷子则是老成都院落代表的展示区，著名酒吧白夜就坐落在此。不过宽窄巷子始终人流熙攘，想寻静谧处，不妨往北面走走，那有几条绿茵深深的小街，泡桐树街、支矶石街以及小通巷等，会让你心绪安宁。,19389,028-66355355,http://www.kzxz.com.cn/,3-4小时,乘地铁2号线至人民公园站下车，步行400 米即可到达。乘地铁4号线至宽窄巷子站下车即是；乘62、70、93、126 环线、127、163、340 路公交车至宽窄巷子站下车,免费,全天,四川省成都市青羊区同仁路以东长顺街以西,
5065312,/poi/1240.html,1240,文殊院,3,个人不喜欢道教、佛教，所以进去纯粹是看景看人，碰到不少善男信女祈祷，无意中拍到一清新妹子点香，美！！！,2013-12-03 00:45:18,文殊院是川西著名佛教寺院，院内珍藏着许多珍贵文物和上万册佛经、文献，每天香火不断。院内还有石刻、铜铁铸造、木雕、泥塑等大小300余尊佛像，均具有文物艺术价值。其中有一尊列为“空林八观之一”的缅甸玉佛，是院僧性鳞和尚于民国11年（1922年）历尽艰辛，步行募化到缅甸请回的。 另外，还可在文殊院茶室品尝四川特有的盖碗茶，欣赏民间艺人的弹唱。,2390,028-86950699;028-86935293,http://www.konglin.org/,1-2小时,乘坐地铁1 号线至文殊院站下车；乘42、75、126、127路公交至大安西路西站下车可达；或乘16、55、98、298 路通宵专线公交至文殊院站下车步行约320 米可达,免费,8:00-18:00,四川省成都市青羊区文殊院街66号,
5065312,/poi/4464.html,4464,老城隍庙,4,世博会时去的，除了人还是人，建筑不错，小吃特别多，印象中就这些了,2013-12-03 00:58:50,--城隍庙与豫园毗邻，从宋代开始始建到当代，追溯其历史已有600多年，作为道教官观，在国内外享有盛名。 --这里古香古色的，如集市一般，来往的游人，各种小吃摊的叫卖，让人兴致勃勃的融入其中。 --和南京的夫子庙类似，很多人来此上香，门票10元，对寺庙不感兴趣的勿进。,2744,021-63842346;021-63284494,,2-3小时,城隍庙位于上海方浜中路，乘坐公交即可到达    乘坐11、66、126、926路公交均可到达,免费,7:00-22:00,上海市黄浦区方浜中路249号(安仁街旧校场路间),
5065312,/poi/5504076.html,5504076,外滩,5,国际化大都市，也是国内能和水结合比较好的城市，也只是站着看看风景，坐坐船，当时还无福享受这里的酒店，有机会一定要去住,2013-12-03 01:00:33,--位于上海市中心黄浦区的黄浦江畔，是最具上海城市象征意义的景点之一。 --有人说“外滩的故事就是上海的故事”， 外滩的精华就在于52幢风格各异被称为“万国建筑博览”的外滩建筑群。 --外滩的建筑虽不是出自同一位设计师，也并非建于同一时期，然而它们的建筑色调却基本统一，整体轮廓线处理也惊人地协调。 --晚间，浦江两岸霓虹齐放，漫步其中，感受着“不夜城”的韵味与浪漫，加之外滩江风阵阵，怎么一个美字了得。,7729,,,看夜景40分钟足够，沿着外滩走一圈需时4小时,外滩处于上海黄浦区的黄浦江畔   公共交通    1、地铁2号线、10号线在南京东路站出站步行约15分钟   2、公交20、26、37、42、55、65、135、145、868、5、921等都可以到达,全天免费（外滩观光隧道50元/人）,全天开放（彩灯开放时间：夏17:00-22:00 ，冬17:00-21:00）,上海市黄浦区中山东一路（北至外白渡桥、南至十六铺码头）,
5065312,/poi/5812.html,5812,武汉大学Wuhan University,5,生活了一段时间，报考本校研究生，没考上啊，心中永远的遗憾，武大樱花一直没看！,2015-05-17 11:03:32,武汉大学前身为清末湖广总督张之洞创立的自强学堂，1928年，更名为“国立武汉大学”。 武汉大学濒临东湖，环抱珞珈山，校园内绿树成荫，中西合璧的宫殿式建筑群古朴典雅，巍峨壮观，一批建筑如宋卿体育馆、樱园老斋舍、图书馆、半山庐等，被列为全国文物重点保护单位，住宿区还有桂园、枫园、樱园、梅园等四大名园。网评武汉大学为中国十大最美高校之一。 古朴的建筑点缀于茂密的树林之间，四季花开不败，走在校园里，花香鸟语。拿一本书，找一个安静的地方，重温青春时光。,5165,027-68755114,http://www.whu.edu.cn,2-3小时,在武汉到武大的公交车很多，乘317、413、515、519、552、564、572、587、591、608、724路在八一路珞珈山下车即可到达。,武汉大学在每年樱花季时期会向外来游客收取20元参观票，其余时间免费。,全天开放,武汉市武昌区珞珈山路16号,武汉大学樱花节
58659462,/poi/5423365.html,5423365,西安火车站,3,旅游专线大巴，在广场东侧。机场大巴有点远，在地铁站五路口下比较近。,2015-06-15 02:25:55,,,,,,,,,,
58659462,/poi/5422697.html,5422697,深圳市民中心,3,很丑，如果这也能算有特色的话，不过北面的广场会有卖唱表演之类的，挺热闹的。,2015-06-15 02:45:40,深圳市民中心，位于深圳中心区的福田区，占地91万平方米，北靠莲花山，南向中央商务区。是集政府、人大、博物馆、会堂等多功能为一体的综合性建筑，是深圳的行政中心，市政府主要办公机构，同时也是市民娱乐活动的场所，成为了深圳市政府的形象代言，深圳最具有标志性的建筑。,152,,,1小时,市内乘坐龙华线、蛇口线地铁至市民中心站下车,,,广东省深圳市福田区深南大道,
58659462,/poi/469.html,469,石室圣心大教堂Shishi Sacred Heart Cathedral,4,并不在路边。是陷进去很多的，所以要仔细发现。很有异国风味，也符合广州开埠良久的风格。,2015-06-15 02:14:06,石室圣心大教堂坐落于广州市区中心的一德路，是天主教广州教区最宏伟、最具有特色的一间大教堂。该教堂建于1863年，落成于1888年，历时25年始建成，至今有130多年的历史。教堂的全部墙壁和柱子都是用花岗岩石砌造，教堂周围，一年四季树木常青，鲜花簇拥，五彩缤纷。,3758,020-83336737;020-83336761,,1-2小时,乘4、8、61、82、238、823路公交车一德路站下，地铁可乘坐6号线在一德路站下车出站。,免费参观,平日：8：00－17：30（节假日不休息）； 周日（公共开放日）7:00-10：00。 弥撒时间：周一至周六第一场6:30，第二场7:00；周六19：00（普通话）；周日第一场6：30，第二场8：30，第三场22：30（英语）,广州市越秀区一德路旧部前56-7号（近一德花园）,
58659462,/poi/1368.html,1368,番禺宝墨园,4,挺多内容的，感觉像一个综合的休闲公园了。但是细细逛逛，还是蛮有收获的，特别是有一些博物馆之类的。,2015-06-15 02:12:35,宝墨园更是一座颇具特色的园艺精品公园，除了树木花卉和建筑之外，园内周边还有龟池、放生池、锦鲤池、莲池，带给游人美的享受。宝墨园建于清嘉庆年间，园内的包相府庙，是为颂扬龙图阁直学士包拯而建，清末民初增建宝墨园。后荒废，现重新修建，门前两幅工艺精湛的民间砖雕，分别为包拯怒铡陈世美与包勉的故事。园内还有大量的灰雕、石雕、陶塑和紫檀木雕，以及传统宫灯。园内主要有治本堂、宝墨堂、清心亭、仰廉桥、紫洞舫、龙图馆、千象回廊和风味食街等建筑及景观。另外还有千年罗汉老松、九里香、两面针树、银杏树、玉堂春、大叶榕树、紫薇树岭南盆景等。,467,,,1小时,1、在广州市汽车客运站坐车到宝墨园（从8:00开始，每30分钟开出一班车到宝墨园），票价为13元/人，车程约45分钟；  2、乘地铁3号线(天河客运站-番禺广场)到地铁市桥站C出入口，走到百越广场站(番禺)，转乘市桥-宝墨园专线（坐27站），到宝墨园总站下，走约240米到宝墨园；  3、乘车到番禺市桥汽车站总站，转乘市桥-宝墨园专线（坐28站），到宝墨园总站下，走约240米到宝墨园。,40元,8：00-17：45（周一至周五）；8：00-18：00（周六、日）,广州市番禺区沙湾镇紫坭村,
