pics,summary,tel,site,time,traffic,ticket,opentime,location,insides,id,name
5165,武汉大学前身为清末湖广总督张之洞创立的自强学堂，1928年，更名为“国立武汉大学”。 武汉大学濒临东湖，环抱珞珈山，校园内绿树成荫，中西合璧的宫殿式建筑群古朴典雅，巍峨壮观，一批建筑如宋卿体育馆、樱园老斋舍、图书馆、半山庐等，被列为全国文物重点保护单位，住宿区还有桂园、枫园、樱园、梅园等四大名园。网评武汉大学为中国十大最美高校之一。 古朴的建筑点缀于茂密的树林之间，四季花开不败，走在校园里，花香鸟语。拿一本书，找一个安静的地方，重温青春时光。,027-68755114,http://www.whu.edu.cn,2-3小时,在武汉到武大的公交车很多，乘317、413、515、519、552、564、572、587、591、608、724路在八一路珞珈山下车即可到达。,武汉大学在每年樱花季时期会向外来游客收取20元参观票，其余时间免费。,全天开放,武汉市武昌区珞珈山路16号,武汉大学樱花节,5812,武汉大学
2480,武汉长江大桥古香古色，一年四季，春夏秋冬景色各有千秋，春天凉爽，江风宜人；夏季气候炎热，傍晚伫立桥头凝望海天交接，心情疏爽；秋季硕果时节，看无限夕阳；冬季，要是有偶尔的小雪，站在桥头，感觉世界分外妖娆。 武汉长江大桥是新中国成立之后在长江上修建的第一座大桥，其正桥八墩九孔，每孔跨度达到128m。正桥钢梁由平弦菱形连续梁组成，钢梁设计三联，每联三孔。50年来，历经风雨沧桑的武汉长江大桥，巍然立在大江之上，肩负着每分钟60多辆汽车、每6分钟一列火车通过的荷载，经受了无数次洪水、大风的洗礼，更承受了76次碰撞事故的考验。专家最近检测得出的结论是：大桥的桥墩、钢梁等主体结构可使用100年以上。 自1955年建成以来，就经历过2001年一次比较大型的翻修，在武汉的众多桥梁之中，它是最可靠，维修最少的桥梁。,,,1小时,公交  乘坐11、 18、 25、 43、 514、 539、 542、 554、 566、 572、 573、 578、 607、 717、 804、 916路公交车至【临江大道平湖门】站下车即到。   自驾  从武汉站自驾车前往，全程约19公里。   步行  从黄鹤楼沿黄鹤楼南路步行至大桥，全程约800米。,免费参观 大桥桥头堡内有电梯，2元/人/次,全天,武汉市武昌区临江大道与滨江大道之间,,5803,武汉长江大桥
3182,位于武汉市东湖畔的湖北省博物馆，是我国重要的国家级博物馆，馆藏文物丰富。最值得看的是四大镇馆之宝：1978年出土于“曾侯乙墓”的曾侯乙编钟，音域宽广，音色优美，可以演奏中外各种乐曲，它的出土，改写了世界音乐史；中国冷兵器时代的精品之作越王勾践剑，至今锋利无比，在它边上展出的是“吴王夫差矛”，生前两人是死对头，死后两人的兵器“在一起”；郧县人头骨化石的地质年代距今约100万年，早于北京猿人的头骨化石；元青花四爱图梅瓶，是元代青花瓷中极其罕见的精品。“元青花”制作精美而传世极少，反映人物图案的器物更为罕见。,027-86794127,http://www.hbww.org/,2-3小时,公交   1、乘坐14、108、402、411、552、578、701、709路至【省博物馆】站下。  2、乘坐605、709、712路至【黄鹂路】站（湖北日报对面）下。,免费开放，编钟定时演奏：30元，每次表演20分钟；每日上午10:30、11:30和下午14:30、15:30各两场。,周二—周日9:00-17:00（15:30停止入场），周一（除国家法定节假日除外）闭馆。,武汉市武昌区武昌东湖路156号,,6221,湖北省博物馆
4311,黄鹤楼位于武昌江畔，紧邻长江大桥，有“天下江山第一楼”的美誉，是地理上武汉的中心。因为建于蛇山之上，再加上5层的楼高，以及周边无高层建筑，所以这里的视野非常开阔。除了黄鹤楼之外，景区内还有大量的石碑、石刻，都是历代名人的真迹。这里绿化非常高，不行在山间非常惬意。每天在落梅轩还有楚地特色的编钟表演，时间分别为10:00，11:40，14:20，16:00，表演免费。,027-88871394,,2小时,电车1路、电车4路，公交10、61、64、108、401、402、411、413、584等路到黄鹤楼站下。或者乘车在阅马场下车（参见首义广场交通）,A.免票政策：儿童在1.2m以下免票，70周岁以上的老人（凭身份证或老年证）免票，现役军人（凭现役军人有效证件）免票、残疾人（凭残疾人证）免票 B.优惠政策：身高1.2-1.4m购儿童票40元，60-69岁的老人（凭身份证或老年证）预订老年票40元，（本科及以下）持有效学生证购票40元,07:30—18:30(4月1日至10月31日)；07:30—17:30(11月1日至3月31日,湖北省武汉市武昌蛇山,,5426285,黄鹤楼
2025,汉东湖风景区位于武汉市城区，景区面积73平方公里，是中国最大的城中湖。主要游览景区有磨山景区、听涛景区、落雁景区、吹笛景区（马鞍山森林公园）、东湖樱园、东湖鸟语林等。在这里可以与自然亲密地接触，可以呼吸到新鲜的空气，每天早晚都有自行车爱好者在这里骑车环湖。,027-86773706,,3-4小时,公交  1、乘坐22路公交车可直达东湖风景区。  2、乘坐14、108、402、534、537、578、605、777、810路公交车可达东湖听涛景区。  3、乘坐401、402、413、515、643路公交车可达东湖磨山景区。   出租车  武汉有两种出租车，一种是富康和爱丽舍车型，起步价6元/2公里，8元/3公里，之后1.4元/km；另一种是新款东风雪铁龙凯旋车型，起步价8元/2公里，之后1.6元/km。另加收2元燃油附加费。,听涛景区免费，磨山风景区60元，落雁景区13元，马鞍山森林公园旺季20元，淡季10元（每年3月11日至6月10日、9月11日至12月10日为旺季）； 磨山索道（单/双）：15/25元,东湖风景区内各景点开放时间略有不同。   听涛景区：8:00-17:00；磨山景区：7:30-17:00；落雁景区：8:30-17:00  湖北省博物馆：9:00-17:00（15:30停止入馆，每周一闭馆）  马鞍山森林公园：8:00-17:00（冬季）、8:00-17:30（春、夏、秋季）,湖北省武汉市武昌区沿湖大道附近,,5774,东湖
4273,这条普普通通的街区，仅有一千二百米，居然集中了几十处近百年的老建筑物：教堂、医院、学校、名居、花园、领事馆等等。这些百年前的老建筑物虽然经历了一个多世纪的沧桑，却在历史的长河中钩沉发微，折射出历史的光泽和心酸。它的一砖一石，勾勒出武汉城市发展的轨迹；它的轶事旧闻，反映了武汉市历史上的风云变幻；它的别致名居，记录了武汉多姿多彩的风土人情。,,,2-3小时,昙华林的范围比较大，所以过去的公交车很多，主要有以下三大类选择：乘11 、14、18 、19 、514 、515、521、529、530 、539 、542、554、566 、572 、573 、607路等20条公交车到司门口；乘15、34、43、 315、554、576路公交车中山路积玉桥；乘11、511、514、530、539、542、584、606、607、717、729、804路公交车到和平大道积玉桥。 此外、也可乘地铁2号线在螃蟹岬下车，然后步行至昙华林。,免费,全天开放,武汉市武昌区花园山附近,,6163,昙华林
599,江汉路始名于20世纪30年代，曾有“车马如梭人似织，夜深歌吹未曾休”的诗名来形容它，也有“小香港”的提法。在此，还可见30年代遗留下来的西洋建筑，曾是有名的商业门点集中区。 江汉路经过几十年的发展，现在成为汉口最繁华的区域之一，人流量大，店铺达400余家，其中有经营特色的专业店和老字号90多家，近30个行业。老字号的包括解放前繁盛一时的人民饭店、璇宫饭店、孙中山亲笔所书“精益求精”店名的精益眼镜店、为抵制日货而开的国货百货大楼，现名中心百货大楼、专卖洋钟表的亨达利钟表店、冠生园、华康副食、滋美食品厂、武汉中药店、四季美汤包馆。 这里也是武汉的美食聚集地，各类中餐、西餐、韩国烧烤、日本料理、火锅、快餐、各地风味美食只有你想不到没有你吃不到。,,,1-3小时,1. 乘坐地铁二号线，在“江汉路”站下车即到。 2. 在市区乘坐1、2、7、24、38路公交车在“中山大道江汉路”站下车就到。乘坐290、526、553路公交车在“京汉大道江汉路”站下车即到。,无需门票,全天,武汉市江汉区江汉路,,35611,江汉路
592,武大的樱花，3月下旬至4月初樱花开，门票20元，其他时间免费。,,,半天,,门票20人民币,3月下旬至4月初,从武汉大学正门进，也就是“国立武汉大学”牌坊，进去,,5778,武汉大学樱花节
932,磨山景区，居东湖中心，三面环水，逶迤六峰，是东湖风景名胜区的六个景区之一。古朴、恢宏的楚文化旅游区位于磨山景区内：仿古代章华台而建、可与江南三大名楼媲美的楚天台；反应先秦时期国家象征的楚城城门；被楚人视为真善美化身的凤凰（铜雕）；古楚国人进行商贾贸易的楚市；比泰山御字碑还大、毛泽东手书的“离骚碑”；展观楚国八百年风云历史中的名君、名相、名人、名事的“唯楚有才”雕塑园等等。这些景点文化内涵丰富、建筑艺术精湛，在全国独有。,027-87910179,,2-3小时,公交  1、乘坐401、403、643路公交车至【鲁磨路梅园】站下车即可。  2、乘坐402、413、515路公交车至【东湖东路梅园】站下车即可。,成人票60元  优惠政策  1、1.3米以上儿童、60-70岁老人、学生30元。  2、1.3米以下儿童、70岁以上老人免票。,7:30-17:00,湖北省武汉市东湖生态旅游风景区内（中国地质大学北部）,东湖樱花园,5811,磨山景区
1945,这里是辛亥革命第一枪打响的地方，其主体分为南北两个广场，北广场是原为清末湖北省谘议局，武昌起义成功后，革命党人在这里成立军政府，一度代行“中华民国中央政府”职权，现为辛亥革命武昌起义纪念馆；因其主体建筑为红色楼房，因此又被称为“红楼”。南广场是为纪念辛亥革命一百周年新修的广场，其间矗立着一个红色三角形建筑为辛亥革命博物馆。,027-88877172;027-88875306,,1小时,公交 1、乘坐61、222、503、519、522、536、537、596、608、703、728路公交车至【阅马场】站即达 2、乘坐10、61、108、401、电1、电4路公交车至【黄鹤楼】站下，再向东南方向步行月200米即可。,辛亥革命纪念馆，免费，每30分钟免费派发35张票。但必须登记个人信息； 辛亥革命博物馆，免费，在广场票亭凭个人有效证件领取参观券。,辛亥革命纪念馆，周二至周日，每天9：00-17：00，16：00起停止入馆； 辛亥革命纪念馆，每周二至周日，每天9:00-17:00，16：00起停止入馆，领票时间为开放日的9:00-11:30；13:00-16:00。,湖北省武汉市武昌区武珞路1号,,5807,武昌起义军政府旧址
